	RR	Timestamp	SensorContact	errorEstimate	blockerBit	gap
560	919	1,62677E+12	-1	-1	-1	1020
561	951	1,62677E+12	-1	-1	-1	990
562	911	1,62677E+12	-1	-1	-1	990
563	943	1,62677E+12	-1	-1	-1	1020
564	975	1,62677E+12	-1	-1	-1	990
565	959	1,62677E+12	-1	-1	-1	989
566	959	1,62677E+12	-1	-1	-1	1050
567	1015	1,62677E+12	-1	-1	-1	961
568	943	1,62677E+12	-1	-1	-1	990
569	967	1,62677E+12	-1	-1	-1	1021
570	975	1,62677E+12	-1	-1	-1	0
571	927	1,62677E+12	-1	-1	-1	990
572	943	1,62677E+12	-1	-1	-1	988
573	959	1,62677E+12	-1	-1	-1	1021
574	919	1,62677E+12	-1	-1	-1	991
575	983	1,62677E+12	-1	-1	-1	989
576	991	1,62677E+12	-1	-1	-1	1020
577	975	1,62677E+12	-1	-1	-1	960
578	1007	1,62677E+12	-1	-1	-1	1021
579	975	1,62677E+12	-1	-1	-1	1049
580	975	1,62677E+12	-1	-1	-1	993
581	991	1,62677E+12	-1	-1	-1	958
582	935	1,62677E+12	-1	-1	-1	1020
583	959	1,62677E+12	-1	-1	-1	989
584	951	1,62677E+12	-1	-1	-1	990
585	895	1,62677E+12	-1	-1	-1	1020
586	927	1,62677E+12	-1	-1	-1	990
587	967	1,62677E+12	-1	-1	-1	989
588	911	1,62677E+12	-1	-1	-1	1022
