	RR	Timestamp	écart		moyenne	min	max	mode	écart-type	durée	somme RR	max écart tmsp	écart-type tmsp	25e centile	50e centile	75e centile	RR/durée	durée (min)	état	deconnexion
470	574	1623388722674	958	11/06/2021 07:18																
471	590	1623388722675	1	11/06/2021 07:18																
472	607	1623388723665	990	11/06/2021 07:18																
473	594	1623388724623	958	11/06/2021 07:18																
474	523	1623388724623	0	11/06/2021 07:18																
475	617	1623388725614	991	11/06/2021 07:18																
476	593	1623388725614	0	11/06/2021 07:18																
477	557	1623388726604	990	11/06/2021 07:18																
478	595	1623388727564	960	11/06/2021 07:18																
479	590	1623388727564	0	11/06/2021 07:18																
480	585	1623388728554	990	11/06/2021 07:18																
481	638	1623388729542	988	11/06/2021 07:18																
482	1721	1623388730503	961	11/06/2021 07:18																
483	1160	1623388731495	992	11/06/2021 07:18																
484	662	1623388732484	989	11/06/2021 07:18																
485	1095	1623388733444	960	11/06/2021 07:18																
486	646	1623388734435	991	11/06/2021 07:18																
487	614	1623388734435	0	11/06/2021 07:18																
488	591	1623388735424	989	11/06/2021 07:18																
489	583	1623388736383	959	11/06/2021 07:18																
490	554	1623388736383	0	11/06/2021 07:18																
491	937	1623388737372	989	11/06/2021 07:18																
492	787	1623388738527	1155	11/06/2021 07:18																
493	625	1623388739324	797	11/06/2021 07:18																
494	617	1623388739325	1	11/06/2021 07:18																
495	597	1623388740313	988	11/06/2021 07:19																
496	485	1623388740313	0	11/06/2021 07:19																
497	573	1623388741273	960	11/06/2021 07:19																
498	636	1623388742262	989	11/06/2021 07:19																
499	580	1623388742262	0	11/06/2021 07:19																
500	641	1623388743254	992	11/06/2021 07:19																
501	542	1623388743254	0	11/06/2021 07:19																
502	576	1623388744212	958	11/06/2021 07:19																
503	652	1623388745202	990	11/06/2021 07:19																
504	552	1623388745202	0	11/06/2021 07:19																
505	1106	1623388746162	960	11/06/2021 07:19																
506	645	1623388747152	990	11/06/2021 07:19																
507	597	1623388748142	990	11/06/2021 07:19																
508	553	1623388748142	0	11/06/2021 07:19																
509	1219	1623388749102	960	11/06/2021 07:19																
510	490	1623388750092	990	11/06/2021 07:19																
511	750	1623388751083	991	11/06/2021 07:19																
512	1082	1623388752043	960	11/06/2021 07:19																
513	634	1623388752043	0	11/06/2021 07:19																
514	568	1623388753034	991	11/06/2021 07:19																
515	529	1623388753034	0	11/06/2021 07:19																
516	696	1623388754985	1951	11/06/2021 07:19																
517	1219	1623388754985	0	11/06/2021 07:19																
518	320	1623388755974	989	11/06/2021 07:19	dernier tmp 1er BRT	359156														
519	957	1623388756934	960	11/06/2021 07:19																
520	1224	1623388757923	989	11/06/2021 07:19																
521	1656	1623388759874	1951	11/06/2021 07:19																
522	593	1623388759874	0	11/06/2021 07:19																
523	584	1623388760863	989	11/06/2021 07:19																
524	537	1623388760863	0	11/06/2021 07:19																
525	658	1623388761824	961	11/06/2021 07:19																
526	613	1623388762815	991	11/06/2021 07:19																
527	600	1623388762815	0	11/06/2021 07:19																
528	581	1623388763804	989	11/06/2021 07:19																
529	1217	1623388764764	960	11/06/2021 07:19																
530	457	1623388765755	991	11/06/2021 07:19																
531	644	1623388766716	961	11/06/2021 07:19																
532	658	1623388766716	0	11/06/2021 07:19																
533	530	1623388767703	987	11/06/2021 07:19																
534	572	1623388767703	0	11/06/2021 07:19																
535	986	1623388768694	991	11/06/2021 07:19																
536	1263	1623388769654	960	11/06/2021 07:19																
537	419	1623388770643	989	11/06/2021 07:19																
538	878	1623388771601	958	11/06/2021 07:19																
539	1328	1623388772592	991	11/06/2021 07:19																
540	579	1623388773583	991	11/06/2021 07:19																
541	1472	1623388774545	962	11/06/2021 07:19																
542	1281	1623388776493	1948	11/06/2021 07:19																
543	587	1623388776493	0	11/06/2021 07:19																
544	609	1623388777483	990	11/06/2021 07:19																
545	606	1623388777483	0	11/06/2021 07:19																
546	530	1623388778475	992	11/06/2021 07:19																
